Maine December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199804,3.09,-0.26
199805,3.13,-0.26
199806,6.81,3.07
199807,3.94,0.15
199808,2.78,-0.73
199809,2.86,-0.83
199810,5.04,1.34
199811,2.69,-1.20
199812,1.94,-1.59
199901,5.43,2.13
199902,2.22,-0.56
199903,5.41,2.09
199904,0.87,-2.48
199905,2.85,-0.54
199906,3.37,-0.37
199907,3.17,-0.62
199908,3.07,-0.44
199909,9.04,5.35
199910,4.43,0.73
199911,3.49,-0.40
199912,3.00,-0.53
200001,3.62,0.32
200002,3.11,0.33
200003,3.60,0.28
200004,5.74,2.39
200005,4.62,1.23
200006,2.65,-1.09
200007,4.17,0.38
200008,2.61,-0.90
200009,2.27,-1.42
200010,3.37,-0.33
200011,2.99,-0.90
200012,4.40,0.87
200101,1.33,-1.97
200102,2.69,-0.09
200103,3.71,0.39
200104,1.00,-2.35
200105,2.06,-1.33
200106,3.76,0.02
200107,3.76,-0.03
200108,1.53,-1.98
200109,3.70,0.01
200110,1.96,-1.74
200111,2.23,-1.66
200112,2.10,-1.43
200201,2.66,-0.64
200202,3.25,0.47
200203,3.52,0.20
200204,4.42,1.07
200205,3.40,0.01
200206,4.17,0.43
200207,3.96,0.17
200208,0.98,-2.53
200209,4.25,0.56
200210,3.06,-0.64
200211,4.21,0.32
200212,3.10,-0.43
200301,1.31,-1.99
200302,2.66,-0.12
200303,3.51,0.19
200304,1.92,-1.43
200305,3.49,0.10
200306,3.27,-0.47
200307,3.47,-0.32
200308,3.53,0.02
200309,4.20,0.51
200310,7.93,4.23
200311,4.40,0.51
200312,6.33,2.80
200401,0.97,-2.33
200402,1.44,-1.34
200403,1.61,-1.71
200404,3.41,0.06
200405,3.79,0.40
200406,2.77,-0.97
200407,4.68,0.89
200408,6.38,2.87
200409,2.74,-0.95
200410,2.46,-1.24
200411,4.19,0.30
200412,4.36,0.83
200501,2.34,-0.96
200502,2.53,-0.25
200503,4.27,0.95
200504,7.30,3.95
200505,5.87,2.48
200506,3.44,-0.30
200507,3.89,0.10
200508,4.44,0.93
200509,4.68,0.99
200510,11.26,7.56
200511,6.27,2.38
200512,5.30,1.77
200601,4.28,0.98
200602,2.51,-0.27
200603,1.20,-2.12
200604,2.35,-1.00
200605,5.90,2.51
200606,7.39,3.65
200607,5.46,1.67
200608,3.84,0.33
200609,2.96,-0.73
200610,7.85,4.15
200611,4.97,1.08
200612,2.94,-0.59
200701,2.61,-0.69
200702,2.06,-0.72
200703,4.14,0.82
200704,6.48,3.13
200705,3.20,-0.19
200706,3.05,-0.69
200707,3.56,-0.23
200708,4.14,0.63
200709,2.38,-1.31
200710,4.85,1.15
200711,6.90,3.01
200712,4.26,0.73
200801,2.91,-0.39
200802,5.36,2.58
200803,4.62,1.30
200804,4.24,0.89
200805,1.65,-1.74
200806,6.16,2.42
200807,4.91,1.12
200808,5.41,1.90
200809,6.01,2.32
200810,4.09,0.39
200811,5.34,1.45
200812,5.32,1.79
200901,2.57,-0.73
200902,2.65,-0.13
200903,2.45,-0.87
200904,3.97,0.62
200905,4.07,0.68
200906,6.70,2.96
200907,6.71,2.92
200908,3.98,0.47
200909,1.75,-1.94
200910,5.53,1.83
200911,4.77,0.88
200912,4.31,0.78
201001,3.07,-0.23
201002,2.67,-0.11
201003,5.11,1.79
201004,2.82,-0.53
201005,2.09,-1.30
201006,5.54,1.80
201007,2.87,-0.92
201008,2.33,-1.18
201009,5.37,1.68
201010,5.93,2.23
201011,5.20,1.31
201012,6.31,2.78
201101,1.89,-1.41
201102,2.95,0.17
201103,4.93,1.61
201104,4.75,1.40
201105,5.49,2.10
201106,4.06,0.32
201107,3.69,-0.10
201108,7.44,3.93
201109,3.89,0.20
201110,4.97,1.27
201111,2.49,-1.40
201112,3.49,-0.04
201201,3.10,-0.20
201202,1.76,-1.02
201203,1.94,-1.38
201204,4.14,0.79
201205,4.68,1.29
201206,7.58,3.84
201207,1.89,-1.90
201208,4.29,0.78
201209,4.91,1.22
201210,6.69,2.99
201211,1.29,-2.60
201212,5.11,1.58
201301,1.42,-1.88
201302,3.06,0.28
201303,2.45,-0.87
201304,1.98,-1.37
201305,5.67,2.28
201306,6.55,2.81
201307,4.89,1.10
201308,4.60,1.09
201309,5.42,1.73
201310,1.70,-2.00
201311,4.11,0.22
201312,3.76,0.23
201401,3.41,0.11
201402,2.85,0.07
201403,3.80,0.48
201404,3.44,0.09
201405,3.99,0.60
201406,4.58,0.84
201407,6.65,2.86
201408,3.34,-0.17
201409,1.61,-2.08
201410,6.20,2.50
201411,3.50,-0.39
201412,6.08,2.55
201501,3.17,-0.13
201502,1.74,-1.04
201503,1.78,-1.54
201504,3.08,-0.27
201505,2.80,-0.59
201506,5.79,2.05
201507,3.61,-0.18
201508,3.90,0.39
201509,4.82,1.13
201510,4.73,1.03
201511,2.43,-1.46
201512,5.31,1.78
201601,2.50,-0.80
201602,4.74,1.96
201603,3.74,0.42
201604,2.53,-0.82
201605,2.56,-0.83
201606,3.41,-0.33
201607,3.78,-0.01
201608,4.15,0.64
201609,1.58,-2.11
201610,3.98,0.28
201611,3.82,-0.07
201612,4.57,1.04
201701,3.83,0.53
201702,3.11,0.33
201703,2.69,-0.63
201704,4.11,0.76
201705,5.67,2.28
201706,3.73,-0.01
201707,2.84,-0.95
201708,2.45,-1.06
201709,3.08,-0.61
201710,7.17,3.47
201711,2.77,-1.12
201712,3.87,0.34
201801,4.78,1.48
201802,3.02,0.24
201803,2.95,-0.37
201804,4.65,1.30
201805,1.92,-1.47
201806,3.69,-0.05
201807,4.06,0.27
201808,3.78,0.27
201809,3.15,-0.54
201810,4.48,0.78
201811,6.18,2.29
201812,3.79,0.26
201901,5.25,1.95
201902,2.87,0.09
201903,2.19,-1.13
201904,5.37,2.02
201905,4.49,1.10
201906,4.69,0.95
201907,3.31,-0.48
201908,4.80,1.29
201909,3.46,-0.23
201910,5.73,2.03
201911,4.08,0.19
201912,3.75,0.22
202001,3.06,-0.24
202002,2.85,0.07
202003,2.70,-0.62
202004,4.17,0.82
202005,2.62,-0.77
202006,2.29,-1.45
202007,3.85,0.06
202008,2.81,-0.70
202009,1.00,-2.69
202010,6.12,2.42
202011,3.83,-0.06
202012,5.33,1.80
202101,1.89,-1.41
202102,2.90,0.12
202103,1.98,-1.34
202104,3.24,-0.11
202105,2.74,-0.65
202106,2.22,-1.52
202107,5.46,1.67
202108,2.66,-0.85
202109,6.46,2.77
202110,3.78,0.08
202111,3.28,-0.61
202112,3.14,-0.39
202201,2.42,-0.88
202202,3.82,1.04
202203,3.33,0.01
202204,4.46,1.11
202205,2.82,-0.57
202206,3.27,-0.47
202207,4.48,0.69
202208,4.95,1.44
202209,4.62,0.93
202210,5.73,2.03
202211,4.52,0.63
202212,5.53,2.00
202301,5.42,2.12
202302,1.68,-1.10
202303,2.29,-1.03
202304,2.50,-0.85
202305,4.10,0.71
202306,6.43,2.69
202307,5.49,1.70
202308,6.78,3.27
202309,5.05,1.36
202310,5.14,1.44
202311,2.54,-1.35
202312,6.63,3.10
202401,3.65,0.35
202402,1.13,-1.65
202403,7.74,4.42
202404,2.91,-0.44
202405,2.98,-0.41
202406,4.47,0.73
202407,4.75,0.96
