Washington December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
199803,4.05,-0.10
199804,1.64,-1.19
199805,3.66,1.41
199806,1.61,-0.28
199807,1.07,0.17
199808,0.21,-0.81
199809,0.66,-1.29
199810,2.76,-0.90
199811,10.04,3.93
199812,10.06,3.59
199901,7.53,1.47
199902,9.93,5.19
199903,4.51,0.36
199904,1.46,-1.37
199905,2.50,0.25
199906,1.86,-0.03
199907,0.98,0.08
199908,1.31,0.29
199909,0.36,-1.59
199910,3.49,-0.17
199911,8.24,2.13
199912,7.13,0.66
200001,6.09,0.03
200002,4.28,-0.46
200003,3.94,-0.21
200004,2.29,-0.54
200005,3.06,0.81
200006,2.14,0.25
200007,0.68,-0.22
200008,0.40,-0.62
200009,1.97,0.02
200010,2.93,-0.73
200011,3.02,-3.09
200012,3.41,-3.06
200101,2.98,-3.08
200102,2.08,-2.66
200103,3.56,-0.59
200104,3.26,0.43
200105,1.92,-0.33
200106,2.48,0.59
200107,0.73,-0.17
200108,1.43,0.41
200109,0.79,-1.16
200110,4.60,0.94
200111,7.67,1.56
200112,7.66,1.19
200201,7.33,1.27
200202,4.23,-0.51
200203,4.46,0.31
200204,3.23,0.40
200205,2.00,-0.25
200206,1.81,-0.08
200207,0.55,-0.35
200208,0.31,-0.71
200209,0.79,-1.16
200210,0.64,-3.02
200211,3.80,-2.31
200212,7.36,0.89
200301,8.26,2.20
200302,2.49,-2.25
200303,7.09,2.94
200304,3.84,1.01
200305,1.48,-0.77
200306,0.52,-1.37
200307,0.14,-0.76
200308,0.29,-0.73
200309,1.23,-0.72
200310,6.32,2.66
200311,6.30,0.19
200312,5.51,-0.96
200401,6.20,0.14
200402,3.20,-1.54
200403,3.23,-0.92
200404,1.35,-1.48
200405,3.06,0.81
200406,1.63,-0.26
200407,0.40,-0.50
200408,3.21,2.19
200409,2.81,0.86
200410,3.81,0.15
200411,3.79,-2.32
200412,4.96,-1.51
200501,4.58,-1.48
200502,1.11,-3.63
200503,4.39,0.24
200504,3.37,0.54
200505,3.64,1.39
200506,2.03,0.14
200507,1.09,0.19
200508,0.49,-0.53
200509,1.59,-0.36
200510,4.15,0.49
200511,5.48,-0.63
200512,6.72,0.25
200601,11.78,5.72
200602,3.57,-1.17
200603,3.48,-0.67
200604,2.93,0.10
200605,2.37,0.12
200606,2.23,0.34
200607,0.38,-0.52
200608,0.18,-0.84
200609,1.17,-0.78
200610,1.81,-1.85
200611,13.51,7.40
200612,6.85,0.38
200701,5.11,-0.95
200702,4.61,-0.13
200703,5.26,1.11
200704,2.13,-0.70
200705,1.42,-0.83
200706,1.68,-0.21
200707,1.06,0.16
200708,0.70,-0.32
200709,1.43,-0.52
200710,4.06,0.40
200711,3.97,-2.14
200712,8.81,2.34
200801,5.79,-0.27
200802,3.65,-1.09
200803,4.03,-0.12
200804,2.29,-0.54
200805,1.58,-0.67
200806,1.88,-0.01
200807,0.48,-0.42
200808,2.13,1.11
200809,0.65,-1.30
200810,2.36,-1.30
200811,6.84,0.73
200812,5.71,-0.76
200901,6.23,0.17
200902,1.98,-2.76
200903,4.89,0.74
200904,2.66,-0.17
200905,3.12,0.87
200906,0.96,-0.93
200907,0.66,-0.24
200908,0.86,-0.16
200909,1.65,-0.30
200910,5.57,1.91
200911,7.93,1.82
200912,3.39,-3.08
201001,6.24,0.18
201002,3.38,-1.36
201003,3.72,-0.43
201004,4.04,1.21
201005,4.28,2.03
201006,3.28,1.39
201007,0.41,-0.49
201008,0.74,-0.28
201009,3.46,1.51
201010,4.29,0.63
201011,5.78,-0.33
201012,7.70,1.23
201101,6.53,0.47
201102,4.09,-0.65
201103,7.81,3.66
201104,4.67,1.84
201105,4.09,1.84
201106,1.44,-0.45
201107,1.06,0.16
201108,0.20,-0.82
201109,1.29,-0.66
201110,3.34,-0.32
201111,6.10,-0.01
201112,3.20,-3.27
201201,6.35,0.29
201202,4.76,0.02
201203,7.87,3.72
201204,3.93,1.10
201205,2.31,0.06
201206,3.93,2.04
201207,1.43,0.53
201208,0.10,-0.92
201209,0.16,-1.79
201210,6.47,2.81
201211,7.31,1.20
201212,8.25,1.78
201301,3.97,-2.09
201302,2.76,-1.98
201303,3.75,-0.40
201304,4.23,1.40
201305,3.01,0.76
201306,2.26,0.37
201307,0.16,-0.74
201308,1.60,0.58
201309,5.60,3.65
201310,1.37,-2.29
201311,4.03,-2.08
201312,2.94,-3.53
201401,4.42,-1.64
201402,6.28,1.54
201403,7.78,3.63
201404,3.78,0.95
201405,2.44,0.19
201406,1.73,-0.16
201407,0.77,-0.13
201408,1.47,0.45
201409,1.79,-0.16
201410,6.01,2.35
201411,6.10,-0.01
201412,6.23,-0.24
201501,4.96,-1.10
201502,4.30,-0.44
201503,4.32,0.17
201504,1.82,-1.01
201505,1.51,-0.74
201506,0.47,-1.42
201507,0.42,-0.48
201508,1.33,0.31
201509,1.50,-0.45
201510,4.18,0.52
201511,7.02,0.91
201512,11.42,4.95
201601,6.82,0.76
201602,5.08,0.34
201603,6.99,2.84
201604,1.60,-1.23
201605,1.54,-0.71
201606,1.83,-0.06
201607,1.16,0.26
201608,0.36,-0.66
201609,1.67,-0.28
201610,10.29,6.63
201611,6.87,0.76
201612,4.93,-1.54
201701,3.64,-2.42
201702,7.17,2.43
201703,8.53,4.38
201704,4.88,2.05
201705,2.42,0.17
201706,1.55,-0.34
201707,0.04,-0.86
201708,0.14,-0.88
201709,1.35,-0.60
201710,5.06,1.40
201711,8.86,2.75
201712,5.09,-1.38
201801,7.74,1.68
201802,4.39,-0.35
201803,3.29,-0.86
201804,5.47,2.64
201805,1.08,-1.17
201806,1.36,-0.53
201807,0.17,-0.73
201808,0.35,-0.67
201809,1.59,-0.36
201810,3.65,-0.01
201811,5.21,-0.90
201812,7.02,0.55
201901,4.51,-1.55
201902,4.08,-0.66
201903,1.41,-2.74
201904,3.50,0.67
201905,1.82,-0.43
201906,1.05,-0.84
201907,0.91,0.01
201908,0.94,-0.08
201909,3.62,1.67
201910,3.79,0.13
201911,1.85,-4.26
201912,5.58,-0.89
202001,10.52,4.46
202002,4.92,0.18
202003,2.83,-1.32
202004,1.37,-1.46
202005,3.52,1.27
202006,2.39,0.50
202007,0.38,-0.52
202008,0.45,-0.57
202009,2.42,0.47
202010,3.99,0.33
202011,6.40,0.29
202012,6.06,-0.41
202101,7.37,1.31
202102,5.73,0.99
202103,2.44,-1.71
202104,0.99,-1.84
202105,1.23,-1.02
202106,1.41,-0.48
202107,0.06,-0.84
202108,0.68,-0.34
202109,3.12,1.17
202110,5.25,1.59
202111,9.22,3.11
202112,6.37,-0.10
202201,6.58,0.52
202202,3.19,-1.55
202203,3.44,-0.71
202204,4.49,1.66
202205,4.00,1.75
202206,3.62,1.73
202207,0.60,-0.30
202208,0.21,-0.81
202209,0.42,-1.53
202210,2.74,-0.92
202211,6.13,0.02
202212,6.98,0.51
202301,4.24,-1.82
202302,3.33,-1.41
202303,3.31,-0.84
202304,4.19,1.36
202305,1.27,-0.98
202306,0.90,-0.99
202307,0.32,-0.58
202308,0.92,-0.10
202309,2.26,0.31
202310,2.63,-1.03
202311,5.11,-1.00
202312,7.34,0.87
202401,7.12,1.06
202402,4.04,-0.70
202403,3.41,-0.74
202404,2.26,-0.57
202405,2.17,-0.08
202406,2.05,0.16
202407,0.31,-0.59
